All Transactions Report Created: 2018-08-15 22:57:58 -0500
,
﻿Filter Criteria:,All Dates
,All Accounts
,Any Status
,Selected Transactions
,
﻿,"Split","Date","Type","Action","Check #","Security","Payee","Description","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"0.00","Savings","Life Insurance"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Insurance:Life","Insurance:Life","",,"-78.54","Savings","LIfe Insurance (implied)"
﻿,"S","7/13/2018","Payment/Deposit","Deposit",,"","IBM Paycheck","Uncategorized","Uncategorized","",,"-79.72","Savings","Paycheck"
﻿,,"7/13/2018","Payment/Deposit","Deposit",,"","IBM Match","Misc Inc","Misc Inc","",,"450.00","Deferred 401k Match","IBM Match"
﻿,,"7/13/2018","Payment/Deposit","",,"","Google FIber","Utilities:Cable TV","Utilities:Cable TV","",,"-160.00","Discover 3128(6)",
﻿,,"7/11/2018","Payment/Deposit","",,"","Amazon Kindle","Shopping:Books","Shopping:Books","",,"-9.99","Discover 3128(6)","beautiful boy"
﻿,,"7/11/2018","Payment/Deposit","",,"","Loan Nissan Leaf","Transfer:[Checking]","Transfer:[Checking]","",,"0.00","Loan Nissan Leaf",
﻿,,"7/11/2018","Payment/Deposit","",,"","Loan Nissan Leaf","Transfer:[Checking]","Transfer:[Checking]","",,"636.46","Loan Nissan Leaf",
﻿,"S","7/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Transfer:[Loan Nissan Leaf]","Transfer:[Loan Nissan Leaf]","",,"-636.46","Checking",
﻿,"S","7/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Auto & Transport:Auto Payment:Interest","Auto & Transport:Auto Payment:Interest","",,"-1.43","Checking",
﻿,"S","7/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Transfer:[Loan Nissan Leaf]","Transfer:[Loan Nissan Leaf]","",,"0.00","Checking",
﻿,"S","7/11/2018","Payment/Deposit","Sched",,"","Loan Nissan Leaf","Auto & Transport:Auto Payment","Auto & Transport:Auto Payment","",,"0.00","Checking",
﻿,,"7/10/2018","Payment/Deposit","",,"","Price Chopper","Groceries","Groceries","",,"-11.74","Sears 9920(29)",
﻿,,"7/10/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-173.15","Discover 3128(6)",
﻿,,"7/9/2018","Payment/Deposit","",,"","Michaels","Shopping:Hobbies","Shopping:Hobbies","",,"-22.02","Discover 3128(6)",
﻿,,"7/9/2018","Payment/Deposit","",,"","Big Lots","Shopping","Shopping","",,"7.70","Discover 3128(6)",
﻿,,"7/9/2018","Payment/Deposit","",,"","Hardee's","Food & Dining:Fast Food","Food & Dining:Fast Food","",,"-2.12","Discover 3128(6)",
﻿,,"7/9/2018","Payment/Deposit","",,"","Green Lantern Car Wash LLC","Auto & Transport:Service & Parts","Auto & Transport:Service & Parts","",,"-13.09","Discover 3128(6)",
﻿,,"7/9/2018","Payment/Deposit","",,"","JCWW (Johnson County Wastewater)","Utilities:Water","Utilities:Water","",,"-100.00","Checking","Payment"
﻿,,"7/8/2018","Payment/Deposit","",,"","Culvers","Dining:Family","Dining:Family","",,"-26.69","Sears 9920(29)",
﻿,,"7/7/2018","Payment/Deposit","",,"","KFC","Dining","Dining","",,"-4.14","Sears 9920(29)",
﻿,,"7/7/2018","Payment/Deposit","",,"","Winsteads","Dining","Dining","",,"-6.64","Sears 9920(29)",
﻿,,"7/7/2018","Payment/Deposit","",,"","Price Chopper","Groceries","Groceries","",,"-24.58","Sears 9920(29)",
﻿,,"7/7/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-25.46","Discover4221(6)",
﻿,,"7/7/2018","Payment/Deposit","",,"","Dick Clothing Sporting","Shopping:Clothing","Shopping:Clothing","",,"-74.04","Discover 3128(6)",
