dohlcv Date,Open,High,Low,Close,Volume,Adj Close
2001-08-10,6.07,6.07,6.07,6.07,000,2.508048
2001-08-09,6.03,6.03,6.03,6.03,000,2.49152
2001-08-08,6.02,6.02,6.02,6.02,000,2.487388
2001-08-07,6.16,6.16,6.16,6.16,000,2.545234
2001-08-06,6.16,6.16,6.16,6.16,000,2.545234
2001-08-03,6.22,6.22,6.22,6.22,000,2.570026
2001-08-02,6.26,6.26,6.26,6.26,000,2.586553
2001-08-01,6.23,6.23,6.23,6.23,000,2.574158
2001-07-31,6.23,6.23,6.23,6.23,000,2.574158
2001-07-30,6.20,6.20,6.20,6.20,000,2.561762
2001-07-27,6.20,6.20,6.20,6.20,000,2.561762
2001-07-26,6.16,6.16,6.16,6.16,000,2.545234
2001-07-25,6.07,6.07,6.07,6.07,000,2.508048
2001-07-24,5.96,5.96,5.96,5.96,000,2.462597
2001-07-23,6.06,6.06,6.06,6.06,000,2.503916
2001-07-20,6.15,6.15,6.15,6.15,000,2.541103
2001-07-19,6.14,6.14,6.14,6.14,000,2.536971
2001-07-18,6.10,6.10,6.10,6.10,000,2.520443
2001-07-17,6.13,6.13,6.13,6.13,000,2.532839
2001-07-16,6.07,6.07,6.07,6.07,000,2.508048
2001-07-13,6.18,6.18,6.18,6.18,000,2.553498
2001-07-12,6.13,6.13,6.13,6.13,000,2.532839
2001-07-11,6.00,6.00,6.00,6.00,000,2.479124
2001-07-10,6.03,6.03,6.03,6.03,000,2.49152
2001-07-09,6.12,6.12,6.12,6.12,000,2.528707
2001-07-06,6.12,6.12,6.12,6.12,000,2.528707
2001-07-05,6.24,6.24,6.24,6.24,000,2.578289
2001-07-03,6.30,6.30,6.30,6.30,000,2.603081
2001-07-02,6.31,6.31,6.31,6.31,000,2.607213
2001-06-29,6.27,6.27,6.27,6.27,000,2.590685
2001-06-28,6.28,6.28,6.28,6.28,000,2.594817
2001-06-27,6.23,6.23,6.23,6.23,000,2.574158
2001-06-26,6.29,6.29,6.29,6.29,000,2.598949
2001-06-25,6.27,6.27,6.27,6.27,000,2.590685
2001-06-22,6.30,6.30,6.30,6.30,000,2.603081
2001-06-21,6.36,6.36,6.36,6.36,000,2.627872
2001-06-20,6.33,6.33,6.33,6.33,000,2.615476
2001-06-19,6.28,6.28,6.28,6.28,000,2.594817
2001-06-18,6.27,6.27,6.27,6.27,000,2.590685
2001-06-15,6.30,6.30,6.30,6.30,000,2.603081
2001-06-14,6.32,6.32,6.32,6.32,000,2.611345
2001-06-13,6.44,6.44,6.44,6.44,000,2.660927
2001-06-12,6.51,6.51,6.51,6.51,000,2.68985
2001-06-11,6.53,6.53,6.53,6.53,000,2.698114
2001-06-08,6.58,6.58,6.58,6.58,000,2.718773
2001-06-07,6.64,6.64,6.64,6.64,000,2.743564
2001-06-06,6.61,6.61,6.61,6.61,000,2.731169
2001-06-05,6.70,6.70,6.70,6.70,000,2.768356
2001-06-04,6.62,6.62,6.62,6.62,000,2.735301
2001-06-01,6.58,6.58,6.58,6.58,000,2.718773
2001-05-31,6.56,6.56,6.56,6.56,000,2.710509
2001-05-30,6.52,6.52,6.52,6.52,000,2.693982
2001-05-29,6.61,6.61,6.61,6.61,000,2.731169
2001-05-25,6.64,6.64,6.64,6.64,000,2.743564
2001-05-24,6.70,6.70,6.70,6.70,000,2.768356
2001-05-23,6.71,6.71,6.71,6.71,000,2.772488
2001-05-22,6.82,6.82,6.82,6.82,000,2.817938
2001-05-21,6.83,6.83,6.83,6.83,000,2.82207
2001-05-18,6.72,6.72,6.72,6.72,000,2.776619
2001-05-17,6.69,6.69,6.69,6.69,000,2.764224
2001-05-16,6.65,6.65,6.65,6.65,000,2.747696
2001-05-15,6.49,6.49,6.49,6.49,000,2.681586
2001-05-14,6.48,6.48,6.48,6.48,000,2.677454
2001-05-11,6.45,6.45,6.45,6.45,000,2.665059
2001-05-10,6.52,6.52,6.52,6.52,000,2.693982
2001-05-09,6.53,6.53,6.53,6.53,000,2.698114
2001-05-08,6.53,6.53,6.53,6.53,000,2.698114
2001-05-07,6.53,6.53,6.53,6.53,000,2.698114
2001-05-04,6.56,6.56,6.56,6.56,000,2.710509
2001-05-03,6.46,6.46,6.46,6.46,000,2.669191
2001-05-02,6.57,6.57,6.57,6.57,000,2.714641
2001-05-01,6.59,6.59,6.59,6.59,000,2.722905
2001-04-30,6.53,6.53,6.53,6.53,000,2.698114
2001-04-27,6.53,6.53,6.53,6.53,000,2.698114
2001-04-26,6.46,6.46,6.46,6.46,000,2.669191
2001-04-25,6.39,6.39,6.39,6.39,000,2.640268
2001-04-24,6.30,6.30,6.30,6.30,000,2.603081
2001-04-23,6.39,6.39,6.39,6.39,000,2.640268
2001-04-20,6.48,6.48,6.48,6.48,000,2.677454
2001-04-19,6.52,6.52,6.52,6.52,000,2.693982
2001-04-18,6.48,6.48,6.48,6.48,000,2.677454
2001-04-17,6.28,6.28,6.28,6.28,000,2.594817
2001-04-16,6.21,6.21,6.21,6.21,000,2.565894
2001-04-12,6.22,6.22,6.22,6.22,000,2.570026
2001-04-11,6.11,6.11,6.11,6.11,000,2.524575
2001-04-10,6.14,6.14,6.14,6.14,000,2.536971
2001-04-09,5.98,5.98,5.98,5.98,000,2.470861
2001-04-06,5.90,5.90,5.90,5.90,000,2.437806
2001-04-05,5.99,5.99,5.99,5.99,000,2.474993
2001-04-04,5.73,5.73,5.73,5.73,000,2.367564
2001-04-03,5.73,5.73,5.73,5.73,000,2.367564
2001-04-02,5.94,5.94,5.94,5.94,000,2.454333
2001-03-30,6.05,6.05,6.05,6.05,000,2.499784
2001-03-29,5.99,5.99,5.99,5.99,000,2.474993
2001-03-28,6.06,6.06,6.06,6.06,000,2.503916
2001-03-27,6.20,6.20,6.20,6.20,000,2.561762
2001-03-26,6.07,6.07,6.07,6.07,000,2.508048
2001-03-23,6.00,6.00,6.00,6.00,000,2.479124
2001-03-22,5.88,5.88,5.88,5.88,000,2.429542
2001-03-21,5.94,5.94,5.94,5.94,000,2.454333
2001-03-20,6.08,6.08,6.08,6.08,000,2.512179
2001-03-19,6.16,6.16,6.16,6.16,000,2.545234
2001-03-16,6.05,6.05,6.05,6.05,000,2.499784
2001-03-15,6.14,6.14,6.14,6.14,000,2.536971
2001-03-14,6.13,6.13,6.13,6.13,000,2.53036
2001-03-13,6.25,6.25,6.25,6.25,000,2.579894
2001-03-12,6.21,6.21,6.21,6.21,000,2.563382
2001-03-09,6.52,6.52,6.52,6.52,000,2.691345
2001-03-08,6.66,6.66,6.66,6.66,000,2.749135
2001-03-07,6.68,6.68,6.68,6.68,000,2.75739
2001-03-06,6.65,6.65,6.65,6.65,000,2.745007
2001-03-05,6.59,6.59,6.59,6.59,000,2.72024
2001-03-02,6.52,6.52,6.52,6.52,000,2.691345
2001-03-01,6.52,6.52,6.52,6.52,000,2.691345
2001-02-28,6.53,6.53,6.53,6.53,000,2.695473
2001-02-27,6.59,6.59,6.59,6.59,000,2.72024
2001-02-26,6.63,6.63,6.63,6.63,000,2.736751
2001-02-23,6.48,6.48,6.48,6.48,000,2.674834
2001-02-22,6.51,6.51,6.51,6.51,000,2.687217
2001-02-21,6.56,6.56,6.56,6.56,000,2.707856
2001-02-20,6.68,6.68,6.68,6.68,000,2.75739
2001-02-16,6.77,6.77,6.77,6.77,000,2.794541
2001-02-15,6.92,6.92,6.92,6.92,000,2.856458
2001-02-14,6.87,6.87,6.87,6.87,000,2.835819
2001-02-13,6.89,6.89,6.89,6.89,000,2.844075
2001-02-12,6.98,6.98,6.98,6.98,000,2.881225
2001-02-09,6.95,6.95,6.95,6.95,000,2.868842
2001-02-08,7.02,7.02,7.02,7.02,000,2.897737
2001-02-07,7.05,7.05,7.05,7.05,000,2.91012
2001-02-06,7.10,7.10,7.10,7.10,000,2.930759
2001-02-05,7.08,7.08,7.08,7.08,000,2.922504
2001-02-02,7.06,7.06,7.06,7.06,000,2.914248
2001-02-01,7.15,7.15,7.15,7.15,000,2.951398
2001-01-31,7.12,7.12,7.12,7.12,000,2.939015
2001-01-30,7.14,7.14,7.14,7.14,000,2.947271
2001-01-29,7.11,7.11,7.11,7.11,000,2.934887
2001-01-26,7.11,7.11,7.11,7.11,000,2.934887
2001-01-25,7.17,7.17,7.17,7.17,000,2.959654
2001-01-24,7.14,7.14,7.14,7.14,000,2.947271
2001-01-23,7.12,7.12,7.12,7.12,000,2.939015
2001-01-22,7.04,7.04,7.04,7.04,000,2.905992
2001-01-19,6.99,6.99,6.99,6.99,000,2.885353
2001-01-18,7.02,7.02,7.02,7.02,000,2.897737
2001-01-17,6.98,6.98,6.98,6.98,000,2.881225
2001-01-16,7.01,7.01,7.01,7.01,000,2.893609
2001-01-12,6.93,6.93,6.93,6.93,000,2.860586
2001-01-11,6.95,6.95,6.95,6.95,000,2.868842
2001-01-10,6.88,6.88,6.88,6.88,000,2.839947
2001-01-09,6.84,6.84,6.84,6.84,000,2.823436
2001-01-08,6.84,6.84,6.84,6.84,000,2.823436
2001-01-05,6.86,6.86,6.86,6.86,000,2.831691
2001-01-04,6.98,6.98,6.98,6.98,000,2.881225
2001-01-03,7.07,7.07,7.07,7.07,000,2.918376
2001-01-02,6.91,6.91,6.91,6.91,000,2.85233
2000-12-29,7.08,7.08,7.08,7.08,000,2.922504
2000-12-28,7.18,7.18,7.18,7.18,000,2.963782
2000-12-27,7.11,7.11,7.11,7.11,000,2.934887
2000-12-26,7.05,7.05,7.05,7.05,000,2.91012
2000-12-22,6.96,6.96,6.96,6.96,000,2.87297
2000-12-21,6.80,6.80,6.80,6.80,000,2.806924
2000-12-20,6.94,6.94,6.94,6.94,000,2.864714
2000-12-19,6.94,6.94,6.94,6.94,000,2.864714
2000-12-18,7.01,7.01,7.01,7.01,000,2.893609
2000-12-15,6.97,6.97,6.97,6.97,000,2.877097
2000-12-14,7.05,7.05,7.05,7.05,000,2.91012
2000-12-13,9.00,9.00,9.00,9.00,000,2.963782
2000-12-12,9.05,9.05,9.05,9.05,000,2.980247
2000-12-11,9.11,9.11,9.11,9.11,000,3.000006
2000-12-08,8.99,8.99,8.99,8.99,000,2.960489
2000-12-07,8.85,8.85,8.85,8.85,000,2.914386
2000-12-06,8.87,8.87,8.87,8.87,000,2.920972
2000-12-05,9.02,9.02,9.02,9.02,000,2.970368
2000-12-04,8.78,8.78,8.78,8.78,000,2.891334
2000-12-01,8.71,8.71,8.71,8.71,000,2.868282
2000-11-30,8.63,8.63,8.63,8.63,000,2.841938
2000-11-29,8.81,8.81,8.81,8.81,000,2.901213
2000-11-28,8.84,8.84,8.84,8.84,000,2.911093
2000-11-27,8.93,8.93,8.93,8.93,000,2.94073
2000-11-24,8.84,8.84,8.84,8.84,000,2.911093
2000-11-22,8.72,8.72,8.72,8.72,000,2.871575
2000-11-21,8.83,8.83,8.83,8.83,000,2.907799
2000-11-20,8.81,8.81,8.81,8.81,000,2.901213
2000-11-17,8.94,8.94,8.94,8.94,000,2.944023
2000-11-16,8.97,8.97,8.97,8.97,000,2.953903
2000-11-15,9.04,9.04,9.04,9.04,000,2.976954
2000-11-14,8.96,8.96,8.96,8.96,000,2.95061
2000-11-13,8.76,8.76,8.76,8.76,000,2.884748
2000-11-10,8.91,8.91,8.91,8.91,000,2.934144
2000-11-09,9.09,9.09,9.09,9.09,000,2.99342
2000-11-08,9.20,9.20,9.20,9.20,000,3.029644
2000-11-07,9.25,9.25,9.25,9.25,000,3.046109
2000-11-06,9.25,9.25,9.25,9.25,000,3.046109
2000-11-03,9.20,9.20,9.20,9.20,000,3.029644
2000-11-02,9.20,9.20,9.20,9.20,000,3.029644
2000-11-01,9.23,9.23,9.23,9.23,000,3.039523
2000-10-31,9.17,9.17,9.17,9.17,000,3.019765
2000-10-30,9.00,9.00,9.00,9.00,000,2.963782
2000-10-27,8.86,8.86,8.86,8.86,000,2.917679
2000-10-26,8.82,8.82,8.82,8.82,000,2.904506
2000-10-25,8.80,8.80,8.80,8.80,000,2.89792
2000-10-24,8.97,8.97,8.97,8.97,000,2.953903
2000-10-23,8.98,8.98,8.98,8.98,000,2.957196
2000-10-20,9.00,9.00,9.00,9.00,000,2.963782
2000-10-19,9.00,9.00,9.00,9.00,000,2.963782
2000-10-18,8.75,8.75,8.75,8.75,000,2.881455
2000-10-17,8.76,8.76,8.76,8.76,000,2.884748
2000-10-16,8.88,8.88,8.88,8.88,000,2.924265
2000-10-13,8.88,8.88,8.88,8.88,000,2.924265
2000-10-12,8.73,8.73,8.73,8.73,000,2.874868
2000-10-11,8.88,8.88,8.88,8.88,000,2.924265
2000-10-10,8.95,8.95,8.95,8.95,000,2.947316
2000-10-09,8.95,8.95,8.95,8.95,000,2.947316
2000-10-06,9.01,9.01,9.01,9.01,000,2.967075
2000-10-05,9.14,9.14,9.14,9.14,000,3.009885
2000-10-04,9.10,9.10,9.10,9.10,000,2.996713
2000-10-03,9.19,9.19,9.19,9.19,000,3.026351
2000-10-02,9.21,9.21,9.21,9.21,000,3.032937
2000-09-29,9.20,9.20,9.20,9.20,000,3.029644
2000-09-28,9.25,9.25,9.25,9.25,000,3.046109
2000-09-27,9.10,9.10,9.10,9.10,000,2.996713
2000-09-26,9.10,9.10,9.10,9.10,000,2.996713
2000-09-25,9.14,9.14,9.14,9.14,000,3.009885
2000-09-22,9.19,9.19,9.19,9.19,000,3.026351
2000-09-21,9.14,9.14,9.14,9.14,000,3.009885
2000-09-20,9.09,9.09,9.09,9.09,000,2.99342
2000-09-19,9.12,9.12,9.12,9.12,000,3.003299
2000-09-18,9.11,9.11,9.11,9.11,000,3.000006
2000-09-15,9.24,9.24,9.24,9.24,000,3.042816
2000-09-14,9.31,9.31,9.31,9.31,000,3.065868
2000-09-13,9.34,9.34,9.34,9.34,000,3.075747
2000-09-12,9.30,9.30,9.30,9.30,000,3.062575
2000-09-11,9.31,9.31,9.31,9.31,000,3.065868
2000-09-08,9.27,9.27,9.27,9.27,000,3.052696
2000-09-07,9.32,9.32,9.32,9.32,000,3.069161
2000-09-06,9.29,9.29,9.29,9.29,000,3.059282
2000-09-05,9.32,9.32,9.32,9.32,000,3.069161
2000-09-01,9.40,9.40,9.40,9.40,000,3.095505
2000-08-31,9.37,9.37,9.37,9.37,000,3.085626
2000-08-30,9.31,9.31,9.31,9.31,000,3.065868
2000-08-29,9.35,9.35,9.35,9.35,000,3.07904
2000-08-28,9.38,9.38,9.38,9.38,000,3.088919
2000-08-25,9.34,9.34,9.34,9.34,000,3.075747
2000-08-24,9.34,9.34,9.34,9.34,000,3.075747
2000-08-23,9.38,9.38,9.38,9.38,000,3.088919
2000-08-22,9.36,9.36,9.36,9.36,000,3.082333
2000-08-21,9.34,9.34,9.34,9.34,000,3.075747
2000-08-18,9.29,9.29,9.29,9.29,000,3.059282
2000-08-17,9.36,9.36,9.36,9.36,000,3.082333
2000-08-16,9.25,9.25,9.25,9.25,000,3.046109
2000-08-15,9.22,9.22,9.22,9.22,000,3.03623
2000-08-14,9.27,9.27,9.27,9.27,000,3.052696
2000-08-11,9.17,9.17,9.17,9.17,000,3.019765
2000-08-10,9.12,9.12,9.12,9.12,000,3.003299
2000-08-09,9.20,9.20,9.20,9.20,000,3.029644
2000-08-08,9.27,9.27,9.27,9.27,000,3.052696
2000-08-07,9.17,9.17,9.17,9.17,000,3.019765
2000-08-04,9.11,9.11,9.11,9.11,000,3.000006
2000-08-03,9.04,9.04,9.04,9.04,000,2.976954
2000-08-02,8.99,8.99,8.99,8.99,000,2.960489
2000-08-01,8.99,8.99,8.99,8.99,000,2.960489
